EXACT SECTION AND PARVA GROUND-TRUTH PAGE INDEX
================================================================================
Section 01 [section_1] (Agneyam (SS1)): പ്രഥമ ഖണ്ഡഃ | Subsections: 1..13 (13 subs) | Parva Pages: 3..38
Section 02 [section_2] (Agneyam (SS1)): ദ്വിതീയ ഖണ്ഡഃ | Subsections: 14..24 (11 subs) | Parva Pages: 3..38
Section 03 [section_3] (Agneyam (SS1)): തൃതീയ ഖണ്ഡഃ | Subsections: 25..37 (13 subs) | Parva Pages: 3..38
Section 04 [section_4] (Agneyam (SS1)): ചതു൪ഥ ഖണ്ഡഃ | Subsections: 38..52 (15 subs) | Parva Pages: 3..38
Section 05 [section_5] (Agneyam (SS1)): പഞ്ചമ ഖണ്ഡഃ | Subsections: 53..63 (11 subs) | Parva Pages: 3..38
Section 06 [section_6] (Agneyam (SS1)): ഷഷ്ഠ ഖണ്ഡഃ | Subsections: 64..71 (8 subs) | Parva Pages: 3..38
Section 07 [section_7] (Agneyam (SS1)): സപ്തമ ഖണ്ഡഃ | Subsections: 72..81 (10 subs) | Parva Pages: 3..38
Section 08 [section_8] (Agneyam (SS1)): അഷ്ടമ ഖണ്ഡഃ | Subsections: 82..88 (7 subs) | Parva Pages: 3..38
Section 09 [section_9] (Agneyam (SS1)): നവമ ഖണ്ഡഃ | Subsections: 89..98 (10 subs) | Parva Pages: 3..38
Section 10 [section_10] (Agneyam (SS1)): ദശമ ഖണ്ഡഃ | Subsections: 99..104 (6 subs) | Parva Pages: 3..38
Section 11 [section_11] (Agneyam (SS1)): ഏകാദശ ഖണ്ഡഃ | Subsections: 105..115 (11 subs) | Parva Pages: 3..38
Section 12 [section_12] (Agneyam (SS1)): ദ്വാദശ ഖണ്ഡഃ | Subsections: 116..125 (10 subs) | Parva Pages: 3..38
Section 13 [section_13] (Tadva (SS2)): പ്രഥമ ഖണ്ഡഃ | Subsections: 127..140 (14 subs) | Parva Pages: 39..83
Section 15 [section_15] (Tadva (SS2)): ദ്വിതീയ ഖണ്ഡഃ | Subsections: 141..151 (11 subs) | Parva Pages: 39..83
Section 16 [section_16] (Tadva (SS2)): തൃതീയ ഖണ്ഡഃ | Subsections: 152..163 (12 subs) | Parva Pages: 39..83
Section 17 [section_17] (Tadva (SS2)): ചതു൪ഥ ഖണ്ഡഃ | Subsections: 164..173 (10 subs) | Parva Pages: 39..83
Section 18 [section_18] (Tadva (SS2)): പഞ്ചമ ഖണ്ഡഃ | Subsections: 174..184 (11 subs) | Parva Pages: 39..83
Section 19 [section_19] (Tadva (SS2)): ഷഷ്ഠ ഖണ്ഡഃ | Subsections: 185..197 (13 subs) | Parva Pages: 39..83
Section 20 [section_20] (Tadva (SS2)): സപ്തമ ഖണ്ഡഃ | Subsections: 198..207 (10 subs) | Parva Pages: 39..83
Section 21 [section_21] (Tadva (SS2)): അഷ്ടമ ഖണ്ഡഃ | Subsections: 208..216 (9 subs) | Parva Pages: 39..83
Section 22 [section_22] (Tadva (SS2)): നവമ ഖണ്ഡഃ | Subsections: 217..225 (9 subs) | Parva Pages: 39..83
Section 23 [section_23] (Tadva (SS2)): ദശമ ഖണ്ഡഃ | Subsections: 226..234 (9 subs) | Parva Pages: 39..83
Section 24 [section_24] (Tadva (SS2)): ഏകാദശ ഖണ്ഡഃ | Subsections: 235..243 (9 subs) | Parva Pages: 39..83
Section 25 [section_25] (Tadva (SS2)): ദ്വാദശ ഖണ്ഡഃ | Subsections: 244..250 (7 subs) | Parva Pages: 39..83
Section 26 [section_26] (Bruhati (SS3)): പ്രഥമ ഖണ്ഡഃ | Subsections: 252..271 (20 subs) | Parva Pages: 84..130
Section 28 [section_28] (Bruhati (SS3)): ദ്വിതീയ ഖണ്ഡഃ | Subsections: 272..283 (12 subs) | Parva Pages: 84..130
Section 29 [section_29] (Bruhati (SS3)): തൃതീയ ഖണ്ഡഃ | Subsections: 284..295 (12 subs) | Parva Pages: 84..130
Section 30 [section_30] (Bruhati (SS3)): ചതു൪ഥ ഖണ്ഡഃ | Subsections: 296..305 (10 subs) | Parva Pages: 84..130
Section 31 [section_31] (Bruhati (SS3)): പഞ്ചമ ഖണ്ഡഃ | Subsections: 306..316 (11 subs) | Parva Pages: 84..130
Section 32 [section_32] (Bruhati (SS3)): ഷഷ്ഠ ഖണ്ഡഃ | Subsections: 317..326 (10 subs) | Parva Pages: 84..130
Section 33 [section_33] (Bruhati (SS3)): സപ്തമ ഖണ്ഡഃ | Subsections: 327..336 (10 subs) | Parva Pages: 84..130
Section 34 [section_34] (Bruhati (SS3)): അഷ്ടമ ഖണ്ഡഃ | Subsections: 337..346 (10 subs) | Parva Pages: 84..130
Section 35 [section_35] (Asaavi (SS4)): പ്രഥമ ഖണ്ഡഃ | Subsections: 348..359 (12 subs) | Parva Pages: 131..160
Section 37 [section_37] (Asaavi (SS4)): ദ്വിതീയ ഖണ്ഡഃ | Subsections: 360..369 (10 subs) | Parva Pages: 131..160
Section 38 [section_38] (Asaavi (SS4)): തൃതീയ ഖണ്ഡഃ | Subsections: 370..379 (10 subs) | Parva Pages: 131..160
Section 39 [section_39] (Asaavi (SS4)): ചതു൪ഥ ഖണ്ഡഃ | Subsections: 380..392 (13 subs) | Parva Pages: 131..160
Section 40 [section_40] (Asaavi (SS4)): പഞ്ചമ ഖണ്ഡഃ | Subsections: 393..401 (9 subs) | Parva Pages: 131..160
Section 41 [section_41] (Asaavi (SS4)): ഷഷ്ഠ ഖണ്ഡഃ | Subsections: 402..411 (10 subs) | Parva Pages: 131..160
Section 42 [section_42] (Aindram (SS5)): പ്രഥമ ഖണ്ഡഃ | Subsections: 1413..1425 (13 subs) | Parva Pages: 161..210
Section 44 [section_44] (Aindram (SS5)): ദ്വിതീയ ഖണ്ഡഃ | Subsections: 1426..1437 (12 subs) | Parva Pages: 161..210
Section 45 [section_45] (Aindram (SS5)): തൃതീയ ഖണ്ഡഃ | Subsections: 1438..1445 (8 subs) | Parva Pages: 161..210
Section 46 [section_46] (Aindram (SS5)): ചതു൪ഥ ഖണ്ഡഃ | Subsections: 1446..1454 (9 subs) | Parva Pages: 161..210
Section 47 [section_47] (Aindram (SS5)): പഞ്ചമ ഖണ്ഡഃ | Subsections: 1455..1465 (11 subs) | Parva Pages: 161..210
Section 48 [section_48] (Aindram (SS5)): ഷഷ്ഠ ഖണ്ഡഃ | Subsections: 1466..1475 (10 subs) | Parva Pages: 161..210
Section 49 [section_49] (Aindram (SS5)): സപ്തമ ഖണ്ഡഃ | Subsections: 1476..1484 (9 subs) | Parva Pages: 161..210
Section 50 [section_50] (Aindram (SS5)): അഷ്ടമ ഖണ്ഡഃ | Subsections: 1485..1493 (9 subs) | Parva Pages: 161..210
Section 51 [section_51] (Aindram (SS5)): നവമ ഖണ്ഡഃ | Subsections: 1494..1506 (13 subs) | Parva Pages: 161..210
Section 52 [section_52] (Aindram (SS5)): ദശമ ഖണ്ഡഃ | Subsections: 1507..1517 (11 subs) | Parva Pages: 161..210
Section 53 [section_53] (Pavamanam (SS6)): പ്രഥമ ഖണ്ഡഃ | Subsections: 519..561 (43 subs) | Parva Pages: 211..324
Section 55 [section_55] (Pavamanam (SS6)): ദ്വിതീയ ഖണ്ഡഃ | Subsections: 562..569 (8 subs) | Parva Pages: 211..324
Section 56 [section_56] (Pavamanam (SS6)): തൃതീയ ഖണ്ഡഃ | Subsections: 570..579 (10 subs) | Parva Pages: 211..324
