Aaranam_Rik_Table_Baseline.csv 3.28 20-09-2026 23:02:08
Global_Rik_Num,Patha_Name,Khanda,Rik_ID,Rik_Text,Rik_Metadata
1,व्रत पर्व,प्रथम खण्डः,null,null,
2,व्रत पर्व,प्रथम खण्डः,1,ई᳒मामू॑षुत्वाम᳒स्मा॑कम् । सा᳒नि᳹ ङ्गा॑यात्र᳒न्नव्या॑सम् । अग्ने॑ दे᳒ वे᳒षु प्रा᳒वोचः ॥ १ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री ।।
3,व्रत पर्व,प्रथम खण्डः,null,null,
4,व्रत पर्व,प्रथम खण्डः,null,null,
5,व्रत पर्व,प्रथम खण्डः,null,null,
6,व्रत पर्व,प्रथम खण्डः,2,इन्द्रोरा᳒जाजग॑तश्वर्षाणीनां । आ᳸धि॑क्षामा᳒विश्वा᳹रू॑पंया᳒द॑स्या । ता᳒तो॑ददातीदाशू᳒षे वा᳒सू॑नी । चोदद्राआधाऊ᳒पास्तुतञ्ची दर्वा᳒क् ॥ २ ॥,|| वसिष्ठो मैत्रावरुणिः इन्द्रः त्रिष्टुप् ||
7,व्रत पर्व,प्रथम खण्डः,3,अक्रा᳒न्सामुद्रः᳹प्रा॑थामे᳒वि᳒ध᳒र्म्म॑न् । जना᳹य॑न्प्राजा᳒भु᳒वानास्यागोपाः᳒ । वृषा॑पावी᳒त्रेआ᳒धीसा᳒नोअव्ये॑ । बृ᳒ह᳒त्सो᳒मो॑वावृधेस्वानो᳒अ᳒द्रीः ॥ ३ ॥,।। पराशरः शाक्त्यः पवमानः सोमः त्रिष्टुप्।।
8,व्रत पर्व,प्रथम खण्डः,4,इमा᳹ऊ॑वा᳒न्दिविष्टयः । उस्रा᳒हा᳒वन्तेअश्विना ।  आ᳸यं᳒वा॑मंह्वाया᳒वा॑सेशचीवसू । वीशं॑वीशंही᳒ग᳒च्छा॑थः ॥ ४ ॥,।। वसिष्ठो मैत्रावरुणिः अश्विनौ बृहती।।
9,व्रत पर्व,द्वितीय खण्डः,1,स᳒न्तेपा᳹यां॑सीसा᳒मूयन्तूवा᳒जाः॑।सं᳒वृष्ण्या॑न्यभीमातीषा᳒हाः॑ । आप्यायमानोआमृ᳒ता॑यसोमादीवि᳒श्रा᳒वां॑स्यूक्तामा᳒नीधत्स्वा ॥ १ ॥,||गोतमो राहूगणः सोमः त्रिष्टुप्|||
10,व्रत पर्व,द्वितीय खण्डः,2,त्वा᳒मीमाओषा॑धीस्सोमा᳒वि᳒श्वाः॑ । त्वा᳒मापो आजनायस्त्वङगाः । त्वामा॑तनोरूर्वा (टट्य्) न्ता᳒री॑क्षाम् । त्व᳸ञ्ज्यो᳸तीषावीतामो ववर्क्था ॥ २ ॥,||गोतमो राहूगणः सोमः त्रिष्टुप्|||
11,व्रत पर्व,द्वितीय खण्डः,null,null,
12,व्रत पर्व,द्वितीय खण्डः,3,आ᳒तू᳒ना॑इन्द्रवृत्रहन् । अस्मा᳒कामा᳒र्धामाग॑ही । माहा᳒न्मा᳹ही᳹भी॑रुतीभीः॑ ॥ ३ ॥,।। वामदेवो गौतमः इन्द्रः गायत्री।।
13,व्रत पर्व,द्वितीय खण्डः,4,मायीवर्चीआथो॑भा᳒गम् । आ᳸थो॑यज्ञा᳒स्यायत्पा᳒याः । प᳒रमेष्ठी᳒ प्रा᳒जा᳒पा॑तिः । दीवि᳒द्या॑मी॑वद्रंहतु ॥ ४ ॥,||वामदेवो गौतमः प्रजापतिः अनुष्टुप्|||
14,व्रत पर्व,द्वितीय खण्डः,5,ऊदुब्र॑ह्माणैरतश्रवस्या᳒ । इन्द्रंसामर्येमाहयावसिष्ठा । आ᳸यो᳸र्विश्वा॑नीश्रा᳒वासताताना॑ । ऊपश्रो᳒ता᳹मा᳒इवा᳒तो वा᳒चां॑सि ॥ ५ ॥,|| वसिष्ठो मैत्रावरुणिः इन्द्रः त्रिष्टुप् ||
15,व्रत पर्व,द्वितीय खण्डः,6,आभित्वा᳒शू᳒र॑नोनुमः । आदू᳸ग्धाइवाधेना᳒वाः । ई᳒शा॑ना᳒मा॑स्याजग॑तःस्वदृशं । ईशा॑नमिन्द्रातस्थू᳒षाः॑ ॥ ६ ॥,॥ वसिष्ठो मैत्रावरुणिः इन्द्रः बृहती ॥
16,व्रत पर्व,द्वितीय खण्डः,7,इ᳹दञ्छ᳹न्दो॑जमादग्ने ऋता᳒वृधाः॑ । ये᳸ना॑देवा᳒सो॑ आमृतत्वामा᳒यान् । त᳒त्र द्या᳒वा॑ पृथिवी᳒धक्ता᳒ मस्मा᳒न् । य᳸त्रा᳒देवानांगूह्यन्नीधाम ॥ ७ ॥,
17,व्रत पर्व,तृतीयः खण्डः,1,सा᳒मान्याय᳒न्त्यूपा॑यन्त्यन्याः᳒ । समा᳒नामुर्व᳒न्नद्याः (ठ॑) पृणन्ति । ता᳒मू᳒शू᳒चिं शूचायोदीदीवांसम्॑ । आपान्नापा᳸तामू᳹पा॑यन्त्यापाः॑ ॥ १ ॥,|| गृत्समदः शौनकः अपानपात् त्रिष्टुप् ||
18,व्रत पर्व,तृतीयः खण्डः,2,"तेम॑न्वतःप्रथामन्ना᳒मागोनां॑ । त्रिस्सप्ताः᳹पा᳹रा॑मन्ना᳒माजाना॑म् । 
ताजाना॑तिरभ्या ठ॑ नूषातक्षाः᳒ । आविर्भू॑वन्नारू᳹णीर्याशा॑सा᳒गा᳒वाः॑ ॥ २ ॥",|| वामदेवो गौतमः अग्निः त्रिष्टुप् ||
19,व्रत पर्व,तृतीयः खण्डः,3,साहार्षाभासाहावात्साऊ᳒देता॑ । विश्वारूपा᳒णीबि᳸भ्रा॑तीद्यूर्ध्नीः । ऊरूः᳒ पृथू᳒रायं᳒वो अस्तुलोकः᳒ । ईम᳒आ᳒पा॑सुप्रापाणा᳒ ईह᳒स्ता ॥ ३ ॥,|| वामदेवो गौतमः गौः त्रिष्टुप् ||
20,व्रत पर्व,तृतीयः खण्डः,4,आरत्सू॑पर्णाःपा॑ततु । माश्वानामा᳒शी॑तङ्करात् । तीर्था᳒नी॑सुप्रा᳒पा᳒णानी॑ । सूग᳒ङगोषा᳒दनं करात् ॥ ४ ॥,
21,व्रत पर्व,तृतीयः खण्डः,5,अग्नी᳒मीळेपूरोहि॑तम् । यज्ञस्या॑देवा॑मृत्वी᳒जं॑ । हो᳒तारंरानाधा᳒ता॑मम् ॥ ५ ॥,|| मधुच्छन्दा वैश्वामित्रः अग्निः  गायत्री ||
22,व्रत पर्व,तृतीयः खण्डः,6,म᳒न्ये॑वान्द्यावापृथीवीसूभोज॑सा । येआ᳒प्रा॑थेथामामी᳒तामाभीयो᳒ज॑नम् । द्या᳒वा॑पृथीवीभा᳒वा॑तंस्योने । ते᳒नो मुञ्चातामंहा॑सः ॥ ६ ॥,।। वामदेवो गौतमः द्यावापृथिवी त्रिष्टुप्।।
23,व्रत पर्व,तृतीयः खण्डः,7,का᳒या॑नश्चित्रआ᳒भु॑वात् । ऊतीस्सा᳹दावृ॑धस्सा᳒खा॑ । का᳒या᳒शाची॑ष्ठयावृतः ॥ ७ ॥,।। वामदेवो गौतमः इन्द्रः गायत्री।।
24,व्रत पर्व,तृतीयः खण्डः,8,या᳒शासामाद्या᳒वा॑ पृथिवी । भा᳒गे॑नइन्द्र बृहास्पा᳒ती । या᳒शोभा᳒ग॑स्य विन्दतु । या᳸शो॑माप्राती॑ मुच्यतां । यशस्व्या द्व्य स्या स्संसा᳒दाः॑ । आहं᳒प्रा᳒वादीता᳒स्यां॑ । आहं᳒भू॑यासमूक्तामः᳒ ॥ ८ ॥,|| वामदेवो गौतमः लिंगोक्ताः महा पंक्तिः ||
25,व्रत पर्व,चतुर्थ खण्डः,1,पीबासो᳒मा॑मिन्द्रा᳒मन्द॑तुत्वा।य᳸न्ते॑सूषा᳒वाहरिय्य᳒श्वाद्रिः᳒ । सोतु᳒र्बा॑हुभ्यांसू᳹यातोना᳒र्वा ॥ १ ॥,|| वसिष्ठो मैत्रावरुणिः इन्द्रः विराडुष्णिक् ||
26,व्रत पर्व,चतुर्थ खण्डः,2,इ᳒न्द्रन्ना᳹रो॑नेमा᳒धी॑ताहवन्ते । यत्पार्यायू॑ना᳹ज॑न्ते धीयस्ताः᳒ । शू᳒रोनृ᳹षा॑ताश्रावा॑साश्चका᳒मे ।  आ᳒गो᳒मा॑तीव्रा᳸जे᳹भाजात्व᳒न्नाः॑ ॥ २ ॥,।। वसिष्ठो मैत्रावरुणिः इन्द्रः त्रिष्टुप्।।
27,व्रत पर्व,चतुर्थ खण्डः,3,आभी᳒ना॑वन्तेअद्रू᳒हाः । प्रीय᳹मिन्द्रा॑स्यका᳒म्यं॑ । वत्सन्नपू᳒र्वाआ᳒यूनि ।  जातं᳒रिहन्तीमा॑ताराः ॥ ३ ॥,।। रैभसूनू काश्यपौ पवमानः सोमः अनुष्टुप्।।
28,व्रत पर्व,चतुर्थ खण्डः,4,प्र᳸क्षा॑स्यावृ᳒ष्णो॑ आरूषस्यानू᳒मा᳒हाः॑ । प्रा᳒नुवो॑चोवीद᳹था॑ जाता᳒वेदसे । वै᳒श्वानाराया॑मा᳹तिर्ना᳹व्या॑सेशू᳒चीः॑ । सो᳒मा॑इवपवातेचा᳹रू॑ रग्ना॑ये ॥ ४ ॥,।। भरद्वाजो बार्हस्पत्यःवमानः अग्निः जगती।।
29,व्रत पर्व,चतुर्थ खण्डः,5,वि᳸श्वे॑देवा᳒मामा॑शृण्वन्तु᳒यज्ञं᳒ । ऊ᳹भे रो᳒द॑सीआपान्ना᳹पा॑च्चामन्मा॑ । मा॑वो वा॑चांसिपारीचार्क्षाणि॑ वोचं।सुम्नेष्विद्वोअन्ता᳒मा॑ मदेम ॥ ५ ॥,|| ऋजिश्वा भारद्वाजः विश्वेदेवाः जगती ||
30,व्रत पर्व,चतुर्थ खण्डः,6,एवा᳒ह्या᳒सी॑वीरायुः । एवा᳒शू᳒रा॑ऊ᳒ता᳒ स्थीरः᳒ । एवा᳒तेरा᳒ध्याम्मा᳒नाः॑ ॥ ६ ॥,|| श्रुतकक्षः आङ्गिरसः इन्द्रः गायत्री ||
31,व्रत पर्व,चतुर्थ खण्डः,7,अग्नी᳒मीळेपूरोहि॑तम् । यज्ञस्या॑देवा॑मृत्वी᳒जं॑ । हो᳒तारंरानाधा᳒ता॑मम् ॥ ७ ॥,|| मधुच्छन्दा वैश्वामित्रः अग्निः  गायत्री ||
32,व्रत पर्व,चतुर्थ खण्डः,8,इ᳒न्द्रन्ना᳹रो॑नेमा᳒धी॑ताहवन्ते । यत्पार्यायू॑ना᳹ज॑न्ते धीयस्ताः᳒ । शू᳒रोनृ᳹षा॑ताश्रावा॑साश्चका᳒मे ।  आ᳒गो᳒मा॑तीव्रा᳸जे᳹भाजात्व᳒न्नाः॑ ॥ ८ ॥,।। वसिष्ठो मैत्रावरुणिः इन्द्रः त्रिष्टुप्।।
33,व्रत पर्व,चतुर्थ खण्डः,9,इ᳒न्द्रन्ना᳹रो॑नेमा᳒धी॑ताहवन्ते । यत्पार्यायू॑ना᳹ज॑न्ते धीयस्ताः᳒ । शू᳒रोनृ᳹षा॑ताश्रावा॑साश्चका᳒मे ।  आ᳒गो᳒मा॑तीव्रा᳸जे᳹भाजात्व᳒न्नाः॑ ॥ ९ ॥,।। वसिष्ठो मैत्रावरुणिः इन्द्रः त्रिष्टुप्।।
34,व्रत पर्व,चतुर्थ खण्डः,10,आभित्वा᳒शू᳒र॑नोनुमः । आदू᳸ग्धाइवाधेना᳒वाः । ई᳒शा॑ना᳒मा॑स्याजग॑तःस्वदृशं । ईशा॑नमिन्द्रातस्थू᳒षाः॑ ॥ १० ॥,॥ वसिष्ठो मैत्रावरुणिः इन्द्रः बृहती ॥
35,व्रत पर्व,पञ्चमः खण्डः,1,ऊदूत्यं᳒ जाता᳒वे॑दसम् । दे᳒ वं᳒वाहन्तीं केता᳒वाः॑ । दृशे᳹वि᳹श्वा॑यासूर्यम् ॥ १ ॥,।। प्रस्कण्वः अग्निः गायत्री।।
36,व्रत पर्व,पञ्चमः खण्डः,2,अ᳒ह्नः॑केतु᳒न्सा᳒मी॑प्स्यती । आ᳸भु॑त्भाद्रा᳒नीवे᳒शा॑नी । विश्वा॑स्याज᳹ग॑तोरा᳒त्रिः॑ । उग्रं᳒वा᳒जी᳒न्याक्र᳒मीत् ॥ २ ॥,।। वामदेवो गौतमः रात्रिः अनुष्टुप् ।।
37,व्रत पर्व,पञ्चमः खण्डः,3,अ᳒ग्नि᳒र्मूर्द्धादीवाःकाकू᳒त् । पा᳒तीः पृथिव्या᳒आ᳒यम्। आपांरेतांसिजिन्वति ॥ ३ ॥,।। विरूप आंगिरसः अग्निः गायत्री।।
38,व्रत पर्व,पञ्चमः खण्डः,4,अ᳒ह्नः॑केतु᳒न्सा᳒मी॑प्स्यती । आ᳸भु॑त्भाद्रा᳒नीवे᳒शा॑नी । विश्वा॑स्याज᳹ग॑तोरा᳒त्रिः॑ । उग्रं᳒वा᳒जी᳒न्याक्र᳒मीत् ॥ ४ ॥,।। वामदेवो गौतमः रात्रिः अनुष्टुप् ।।
39,व्रत पर्व,पञ्चमः खण्डः,5,कश्यापा॑स्यास्वर्वीदाः । या᳒आहुस्सायूजावी॑ति । या᳒योर्वीश्वामा᳹पी॑व्राते । यज्ञ᳹न्धी᳹रो॑नीचा᳒य्या ॥ ५ ॥,।। वामदेवो गौतमः इन्द्रः अनुष्टुप्।।
