JSV_Rik_Table.csv 3.2 20-09-2026 23:01:56
Global_Rik_Num,Patha_Name,Khanda,Rik_ID,Rik_Text,Rik_Metadata
1,आग्नेयपाठः,प्रथम खण्डः,null,null,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
2,आग्नेयपाठः,प्रथम खण्डः,null,null,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
3,आग्नेयपाठः,प्रथम खण्डः,null,null,।। मेधातिथिः काण्वः अग्निः गायत्री।।
4,आग्नेयपाठः,प्रथम खण्डः,null,null,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
5,आग्नेयपाठः,प्रथम खण्डः,null,null,।। उशनाः अग्निः गायत्री।।
6,आग्नेयपाठः,प्रथम खण्डः,null,null,।। सुदीतिपुरुमीढा वांगिरसौ तयोर्वाऽन्यतरः अग्निः गायत्री।।
7,आग्नेयपाठः,प्रथम खण्डः,null,null,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
8,आग्नेयपाठः,प्रथम खण्डः,null,null,।। वत्सः काण्वः अग्निः गायत्री।।
9,आग्नेयपाठः,प्रथम खण्डः,null,null,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
10,आग्नेयपाठः,प्रथम खण्डः,null,null,।। वामदेवः अग्निः गायत्री।।
11,आग्नेयपाठः,प्रथम खण्डः,null,null,।। आयुन्ङ्क्श्वाहिः (ऋ विरूपांगिरसः) अग्निः गायत्री।।
12,आग्नेयपाठः,प्रथम खण्डः,null,null,।। वामदेवो गौतमः अग्निः गायत्री।।
13,आग्नेयपाठः,प्रथम खण्डः,null,null,।। प्रयोगो भागर्वः अग्निः गायत्री।।
14,आग्नेयपाठः,द्वितीय खण्डः,null,null,।। मधुच्छन्दा वैश्वामित्रः अग्निः गायत्री।।
15,आग्नेयपाठः,द्वितीय खण्डः,null,null,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।
16,आग्नेयपाठः,द्वितीय खण्डः,null,null,।। मेधातिथिः अग्निः गायत्री।।
17,आग्नेयपाठः,द्वितीय खण्डः,null,null,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।
18,आग्नेयपाठः,द्वितीय खण्डः,null,null,।। प्रयोगो भागर्वः अग्निः गायत्री।।
19,आग्नेयपाठः,द्वितीय खण्डः,null,null,।। प्रयोगो भागर्वः अग्निः गायत्री।।
20,आग्नेयपाठः,द्वितीय खण्डः,null,null,।। वत्सः काण्वः अग्निः गायत्री।।
