Patha (SuperSection),Khanda (Section),Samas (Subsections)
आग्नेयपाठः,प्रथम खण्डः,19
आग्नेयपाठः,द्वितीय खण्डः,15
आग्नेयपाठः,तृतीय खण्डः,21
आग्नेयपाठः,चतुर्थ खण्डः,22
आग्नेयपाठः,पञ्चम खण्डः,16
आग्नेयपाठः,षष्ठ खण्डः,10
आग्नेयपाठः,सप्तम खण्डः,16
आग्नेयपाठः,अष्टम खण्डः,9
आग्नेयपाठः,नवम खण्डः,13
आग्नेयपाठः,दशम खण्डः,7
आग्नेयपाठः,एकादश खण्डः,18
आग्नेयपाठः,द्वादश खण्डः,16
तद्वपाठः,प्रथम खण्डः,23
तद्वपाठः,द्वितीय खण्डः,22
तद्वपाठः,तृतीय खण्डः,20
तद्वपाठः,चतुर्थ खण्डः,15
तद्वपाठः,पञ्चम खण्डः,30
तद्वपाठः,षष्ठ खण्डः,24
तद्वपाठः,सप्तम खण्डः,12
तद्वपाठः,अष्टम खण्डः,11
तद्वपाठः,नवम खण्डः,12
तद्वपाठः,दशम खण्डः,10
तद्वपाठः,एकादश खण्डः,9
तद्वपाठः,द्वादश खण्डः,12
बृहतिपाठः,प्रथम खण्डः,31
बृहतिपाठः,द्वितीय खण्डः,25
बृहतिपाठः,तृतीय खण्डः,25
बृहतिपाठः,चतुर्थ खण्डः,17
बृहतिपाठः,पञ्चम खण्डः,16
बृहतिपाठः,षष्ठ खण्डः,17
बृहतिपाठः,सप्तम खण्डः,10
बृहतिपाठः,अष्टम खण्डः,11
असाविपाठः,प्रथम खण्डः,19
असाविपाठः,द्वितीय खण्डः,17
असाविपाठः,तृतीय खण्डः,18
असाविपाठः,चतुर्थ खण्डः,28
असाविपाठः,पञ्चम खण्डः,11
असाविपाठः,षष्ठ खण्डः,13
ऐन्द्रपाठः,प्रथम खण्डः,24
ऐन्द्रपाठः,द्वितीय खण्डः,21
ऐन्द्रपाठः,तृतीय खण्डः,10
ऐन्द्रपाठः,चतुर्थ खण्डः,21
ऐन्द्रपाठः,पञ्चम खण्डः,28
ऐन्द्रपाठः,षष्ठ खण्डः,15
ऐन्द्रपाठः,सप्तम खण्डः,18
ऐन्द्रपाठः,अष्टम खण्डः,16
ऐन्द्रपाठः,नवम खण्डः,17
ऐन्द्रपाठः,दशम खण्डः,16
पवमानपाठः,प्रथम खण्डः,69
पवमानपाठः,द्वितीय खण्डः,19
पवमानपाठः,तृतीय खण्डः,16
पवमानपाठः,चतुर्थ खण्डः,20
पवमानपाठः,पञ्चम खण्डः,76
पवमानपाठः,षष्ठ खण्डः,36
पवमानपाठः,सप्तम खण्डः,21
पवमानपाठः,अष्टम खण्डः,33
पवमानपाठः,नवम खण्डः,35
पवमानपाठः,दशम खण्डः,39
पवमानपाठः,एकादश खण्डः,36
