JSV_Rik_Table.csv 3.0 21-09-2026 16:34:07
Global_Rik_Num,Patha_Name,Khanda,Rik_ID,Rik_Text,Rik_Metadata
1,आग्नेयपाठः,प्रथम खण्डः,1,अग्ना॑ आ᳒ या ही वी᳒ता᳒ये । गृ᳒णा᳒नो हव्यादा॑तये । नीहो᳒ता॑ सत्सी बर्हीषि॑(s1) ॥ १ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
2,आग्नेयपाठः,प्रथम खण्डः,2,त्वा॑माग्ने यज्ञा᳒नां । हो॑ता विश्वे॑षां हितः । देवेभि॑र्मानूषे॑ जने ॥ २ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
3,आग्नेयपाठः,प्रथम खण्डः,3,अग्निंदूतं᳒वृ॑णीमहे । हो᳒ता॑रंविश्वा᳒वे॑दसं । अस्या᳹यज्ञास्या॑ सुक्रा॑तुम् ॥ ३ ॥,।। मेधातिथिः काण्वः अग्निः गायत्री।।
4,आग्नेयपाठः,प्रथम खण्डः,4,अग्निर्वृ॑णि॑जङ्घनात् । द्रविणास्यु᳹र्वीपन्या᳒या । सामी᳒द्धश्शुक्रा᳒आहूतः ॥ ४ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
5,आग्नेयपाठः,प्रथम खण्डः,5,प्रेष्ठं᳸वोआतीथिं । स्तू᳒ षे᳒ मित्रामीवाप्रीयं । अ᳒ग्ने राथन्ना᳒वेद्यम् ॥ ५ ॥,।। उशनाः अग्निः गायत्री।।
6,आग्नेयपाठः,प्रथम खण्डः,6,त्वन्नोआग्नेमा᳒हो॑भिः । पाही विश्वा॑स्याआ᳒रा॑तेः । ऊत᳒द्वीषो मर्क्त्या॑स्या ॥ ६ ॥,।। सुदीतिपुरुमीढा वांगिरसौ तयोर्वाऽन्यतरः अग्निः गायत्री।।
7,आग्नेयपाठः,प्रथम खण्डः,7,एह्यू᳒षुब्रा᳒वा॑णिते । अग्नाइत्थे᳹ता॑रा॑गीराः । ए᳒भिर्वार्धा॑साइ᳒न्दू॑भिः ॥ ७ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
8,आग्नेयपाठः,प्रथम खण्डः,8,आ᳸तेवात्सो᳒मानो यमात् । परामा᳹ञ्चित्साधास्थात् । अ᳒ ग्ने᳒ त्वांकामयो गी᳒रा॑ ॥ ८ ॥,।। वत्सः काण्वः अग्निः गायत्री।।
9,आग्नेयपाठः,प्रथम खण्डः,9,त्वामाग्ने पु᳹ष्काराद᳒धी॑ । आ᳸थ॑र्वाणीरा॑मन्धत । मूर्ध्नो᳒ विश्वास्यावाघा᳒ता॑ः ॥ ९ ॥,।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
10,आग्नेयपाठः,प्रथम खण्डः,10,अग्नेवी᳸वा᳒स्वादा᳒ भारा । अस्मभ्यामू᳒ता᳹ये॑ माहे᳒ । देवो ह्यासी॑ नोदृशे ॥ १० ॥,।। वामदेवः अग्निः गायत्री।।
11,आग्नेयपाठः,द्वितीय खण्डः,1,नामास्ते᳒अग्ना᳒ओज॑से । गृणन्तीदे᳒वा॑कृष्टायाः । आमै᳒रामित्रा᳒मर्दया ॥ १ ॥,।। आयुन्ङ्क्श्वाहिः (ऋ विरूपांगिरसः) अग्निः गायत्री।।
12,आग्नेयपाठः,द्वितीय खण्डः,2,दूतंवो॑विश्वावे॑दसम् । हव्यावाहामामा᳒र्क्त्यम्॑। याजीष्ठमृन्जसे᳒गीरा ॥ २ ॥,।। वामदेवो गौतमः अग्निः गायत्री।।
13,आग्नेयपाठः,द्वितीय खण्डः,3,ऊपात्वा जामायो᳒गीरा॑ः। देदीशतिर्हा॑विष्कृताः । वायोरा॑नीकेअस्थिरन् ॥ ३ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।
14,आग्नेयपाठः,द्वितीय खण्डः,4,ऊ॑पात्वाग्ने दीवे᳒दीवे । दो᳒षा॑वस्तार्धीया वायम्᳒ । ना᳒मो भा᳹र॑न्ताएमा॑सि ॥ ४ ॥,।। मधुच्छन्दा वैश्वामित्रः अग्निः गायत्री।।
15,आग्नेयपाठः,द्वितीय खण्डः,5,जरा॑बोधाताव्दीविड्ढी । वीशेवी᳒शेय॑ज्ञीयाया । स्तो᳸मंरुद्रायादृशीक᳒म् ॥ ५ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।
16,आग्नेयपाठः,द्वितीय खण्डः,6,प्रातित्यञ्चा᳒रुमाध्वारं᳒ । गो᳸पी॑था᳒यप्रा᳒हू॑यसे । मा᳒रुद्भीरग्नाआग॑हि ॥ ६ ॥,।। मेधातिथिः अग्निः गायत्री।।
17,आग्नेयपाठः,द्वितीय खण्डः,7,अ॑श्वन्न᳒त्वा वारा॑ व᳒न्तम् । व᳸न्द᳹ध्याआग्नि᳒ न्नामोभिः । स᳒म्म्रा᳒जन्तमाध्वाराणा॑म् ॥ ७ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।
18,आग्नेयपाठः,द्वितीय खण्डः,8,और्वा᳒भृगूवच्छूचिम् । आप्नावा᳒नावादाहु॑वे । अग्निं᳹सामुद्रावाससम् ॥ ८ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।
19,आग्नेयपाठः,द्वितीय खण्डः,9,अ᳒ग्नी᳒मिन्धानो॑ माना॑सा। धी॑यं सचेतामा᳒र्त्या॑ः । अ᳒ग्नी᳒मिन्धे वीवा᳒स्वा॑भिः ॥ ९ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।
20,आग्नेयपाठः,द्वितीय खण्डः,10,आदी᳒त्प्रत्ना᳒स्यारे᳒ता॑सः । ज्योतिः पश्यन्ती वासा᳒रम् । पा᳒रोयातिध्या᳹ते दीवि᳒ ॥ १० ॥,।। वत्सः काण्वः अग्निः गायत्री।।
21,आग्नेयपाठः,तृतीय खण्डः,1,अग्निंवोवृधन्तं । अध्वाराणांपुरूतामं । अच्छानाप्नेसाहा᳒स्वते ॥ १ ॥,।। प्रयोगो भागर्वः अग्निः गायत्री।।
22,आग्नेयपाठः,तृतीय खण्डः,2,अग्निस्तिग्मे᳹ना॑शोचीषा॑ । यंसद्वि᳒श्वंन्या टट्य त्रीणं । अ᳒ग्नि᳒र्नो॑वंसतेरायिम्᳸ ॥ २ ॥,।। भाद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
23,आग्नेयपाठः,तृतीय खण्डः,3,अग्नेमृ᳹ळामाहं आ॑सि॑। आ᳒याआ᳹दे॑वायुन्ज॑नम् ।ईये᳸थाबर्ही॑रासादम् ॥ ३ ॥,।। वामदेवो गौतमः अग्निः गायत्री।।
24,आग्नेयपाठः,तृतीय खण्डः,4,अ᳒ग्नेर᳹क्षाणोअं᳒हा॑सः। प्रा᳒तीस्मदेवरिषाताः। ता᳒पीष्ठैराज᳒रोदहा ॥ ४ ॥,।। वसिष्ठो मैत्रावरुणिः अग्निः गायत्री।। ।। भाद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
25,आग्नेयपाठः,तृतीय खण्डः,5,अ᳸ग्नेयुंक्ष्वाहीयेता᳒वा॑।अश्वा॑सोदेवासाधावाः । आ᳒रं॑ वा᳹ह॑न्त्याशा᳒वा॑ः ॥ ५ ॥,।। वसिष्ठो मैत्रावरुणिः अग्निः गायत्री।। ।। भाद्वाजो बार्हस्पत्यः अग्निः गायत्री।।
26,आग्नेयपाठः,तृतीय खण्डः,6,नित्वा॑नक्ष्यविस्पते । धू᳒म॑न्त᳒न्धीमहे वायम् । सु᳒वी᳒रामग्नआ᳸हुतः ॥ ६ ॥,।। वसिष्ठो मैत्रावरुणिः अग्निः गायत्री।।
27,आग्नेयपाठः,तृतीय खण्डः,7,अ᳒ग्नि᳒र्मूर्द्धादीवाःकाकू᳒त् । पा᳒तीः पृथिव्या᳒आ᳒यम्। आपांरेतांसिजिन्वति ॥ ७ ॥,।। विरूप आंगिरसः अग्निः गायत्री।।
28,आग्नेयपाठः,तृतीय खण्डः,8,ई᳒मामू॑षुत्वाम᳒स्मा॑कम् । सा᳒नि᳹ ङ्गा॑यात्र᳒न्नव्या॑सम् । अग्ने॑ दे᳒ वे᳒षु प्रा᳒वोचः ॥ ८ ॥,।। शुनः शेप आजीर्गितः अग्निः गायत्री।।
29,आग्नेयपाठः,तृतीय खण्डः,9,तन्त्वा॑गोपा᳒वा॑नो गिरा । जा᳒नि॑ष्ठदग्ने अङ्गिरः । सा᳒पा॑वकाश्रू॑धीहा᳒व॑म् ॥ ९ ॥,।। गोपवन अत्रयेः अग्निः गायत्री।।
30,आग्नेयपाठः,तृतीय खण्डः,10,पा᳒रिवा᳒जपतीः कावि᳒ः । अ᳒ग्नि᳒ऋ᳒हव्या᳒न्या॑क्रमीत् । दध᳒द्रत्ना᳒नीदाशू᳒षे᳒ ॥ १० ॥,।। वामदेवो गौतमः अग्निः गायत्री।। ।। प्रस्कण्वः अग्निः गायत्री।।
31,आग्नेयपाठः,तृतीय खण्डः,11,ऊदूत्यं᳒ जाता᳒वे॑दसम् । दे᳒ वं᳒वाहन्तीं केता᳒वा॑ः । दृशे᳹वि᳹श्वा॑यासूर्यम् ॥ ११ ॥,।। वामदेवो गौतमः अग्निः गायत्री।। ।। प्रस्कण्वः अग्निः गायत्री।।
32,आग्नेयपाठः,तृतीय खण्डः,12,का᳒वी᳒माग्नी᳒मू᳒पा॑स्तुहि । स᳒त्या᳒धर्मा॑णमाध्वारे । दे᳒वा᳒मा॑मीवाचा᳒ता॑नम् ॥ १२ ॥,।। मेधातिथिः काण्वः अग्निः गायत्री।।
33,आग्नेयपाठः,तृतीय खण्डः,13,श᳸न्नो॑ देवी᳒राभीष्टा॑ये।श᳒न्नो॑ भूवन्तूपीता᳒ये॑ । श᳒य्योराभि᳒स्रावन्तूनः ॥ १३ ॥,।। सिन्धुद्वीप आम्बरीषः त्रित आत्यो वा अग्निः गायत्री।।
34,आग्नेयपाठः,तृतीय खण्डः,14,कस्या नू᳒नम्पारी॑णसि । धीयो॑जिन्वसिसत्पते । गो᳒षा᳒तायस्यातागी᳒रा᳒ः ॥ १४ ॥,।। उशना काव्यः अग्निः गायत्री।।
35,आग्नेयपाठः,चतुर्थ खण्डः,1,यज्ञा᳒याज्ञा᳒वो अग्ना᳒ये॑ । गी᳒रा᳒गी॑राचाद᳒क्षासे । प्र᳸प्रा᳒वाया᳒मामृ᳹त᳒ञ्जा॑तावेदसम् । प्रीयम्मित्र᳒ न्ना᳒शंसिषम् ॥ १ ॥,।। शय्युबार्हस्पत्यः अग्निः बृहती।।
36,आग्नेयपाठः,चतुर्थ खण्डः,2,पाहिनोअग्नाएका॑या । पा᳒ह्यूता द्वि᳒तीया᳒या । पा᳒हीगीर्भीस्तीसृ᳒भीरूर्जां॑ पते । पाही᳹चातासृभी॑र्वसो ॥ २ ॥,।। भगः प्रागाथः अग्निः बृहती।।
37,आग्नेयपाठः,चतुर्थ खण्डः,3,बृ᳒हा᳒त्भी॑रग्नेरर्च्ची॑भिः । शुक्रेणा॑ देवाशोची᳒षा॑ । भारा᳒द्वा॑जेसमीधा । नो᳒या॑विष्यारेवा᳒त्पा॑वकदीदिहि ॥ ३ ॥,।। शय्युबार्हस्पत्यः अग्निः बृहती।।
38,आग्नेयपाठः,चतुर्थ खण्डः,4,त्वय्या॑ग्नेस्वा᳒हुतः । प्रीया᳒सा᳒सन्तू सूराया॑ः । यन्ता᳒रोयेमाघा᳹वा॑नो ज᳒ना॑नाम् । ऊर्वन्दय᳸न्ता गो᳒नाम् ॥ ४ ॥,।। वसिष्ठो मैत्रावरुणिः अग्निः बृहती।।
39,आग्नेयपाठः,चतुर्थ खण्डः,5,अग्ने जरी᳒तार्वीस्पातिः । तपानो᳒ देवारक्षा᳒साः । अ᳒प्रो॑षिवान् ग्रहापा॑ति र्माहंआ॑सि । दी॑वा᳒स्पायू᳒ र्दुरोणायुः ॥ ५ ॥,।। भगः प्रागाथः अग्निः बृहती।।
