Sl No,Parva,Kandah <M>,Kandah Name,Sama Name,Swara Symbols
1,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,गौतमस्यपर्कः,त त श | थाच् चा श | टा श टि श | चा श चि | टा श टि श | कि च | ट ट खा शि | ख श |
2,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,कश्यपस्यबर्हिषीयम्,तू | षू टी त श | चि टी ता | टा खा शि | च खा |
3,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,गौतमस्यचैवपर्कः,तू ति श | यू प श | खि ण | ट ता पा प्लि | शा |
4,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,सौपर्णञ्च,षू ति श | षृ टा ता | क टि ता | ताच् क टा ख प्ल | प्ल शा |
5,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,वैश्वमनसञ्चादित्यसामवा,टि त | षू टि त चा चा | टि त का त त | चा टी खण | प प्ला |
6,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,श्रौतर्षाणित्रीणि,ती | ट खा शि | ख श | च श क कि टा टु त | चा टी खण् | प प्ला | खा शि शु | टा त टा त श | पि ण | षी टि | टीट् ख शि | टि ख | त त | कि की खि श | चा क कि चा क खि श | चि चि क खि प्ल प्ला | शा |
7,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,औशनञ्च,ति | टा ता | चा टु त | भी त टा खण श | प प्ला | शा |
8,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,शैरीषेच,ती त श | टा ता | ता श ता टा ख ण | थ च श | था टा प श | ख श | शा | ति त श | षु टू त | टीट् ख शि | टि ख |
9,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,इन्द्रस्यसंवर्गौवात्रघ्नेद्वे,ति | च था टु त | च थिच् चा य टा | क थ टि खण् | प शा | षि ती त श | क टी त टा त किच् चा य टा | टाट् ख शि | ख |
10,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,साकमश्वस्यशौनःशेपेःसामनी द्वे,फा खि शी | षी टि चा | टा चि | टा खण् श | प प्ल | शा | षि ती ता श | यू प श | खि ण | टा खण् श | प प्ल | शा |
11,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,वत्सस्यकाण्वस्यसामनीद्वे,ती | च श ची थ टि त | भी त | पा प्ल प्लि | शा | षी तू त श | षि टू कच् शा | षी टूच् कच शा | का टा खण् | प शा |
12,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,अग्नेश्चवैश्वानरस्यार्षेयम्,तु ति | च चा टी ख ण | ख प्ल ख णा | पा प्ल प्ला | शा |
13,आग्नेयपाठः,Kandah 1,प्रथम खण्डः,सुमित्रस्यचवार्द्धश्वेस्साम,षी तू त श | चा काच् चा टि टा त टा त श | च या टा टा त टा त श | ट खा शि | ताच् |
14,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,अग्नेश्चसंवर्गः,ति त श | कि टि ख णा | च य टि | टीट् ख शि | खी |
15,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,वैश्वमनसञ्च,ण फ ख शु | थ टु ख ण | च टु त श | च टा ख प्ल | प्ल शा |
16,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,श्नाभाश्नौष्टेद्वे,ती | टा टा | षु तू टि | क टिच् क टा त | खि त्रा | था ट ख | तु ति | च श का टी ख ण | ती ती | टि खा शि |
17,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,वैश्वामित्रञ्च,पि शू | टा टा चा चा | टा टाच् च क ट खण् श | प शा |
18,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,अग्नेश्चजराबोधीये,ता | टा टा चा चा श | का टि टा खा शि | का कू च | ती त | च चि श | टी ता | थ श किच् च य प ण श | खा शा |
19,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,मारूतञ्च,पि शु | था चि क ख ण श | चा क टि च टा ख प्ल | प्ल शा |
20,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,भार्गवेच,टा खा श | टा खा श | षी ति | टा खा श | षि तु | कि पा प्ला | प्ल शा | षी ती | षि चु श | क थाच् चा खा खु ण श | क ट ख शि | ख |
21,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,अग्नेश्चवारवन्तीयम्,तू त श | खि श का प ण श | पु खु ण श | खि ण | क था पी खु ण श | पि प्ली श | प्ल शा |
22,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,और्वस्यवैधारेस्सामनीद्वे,चू त श | ख श | टि क टा टा ची श | टा टिच् चि | चा क त श | ख | षु ति ता | कि च टा ता टि टि त | टी त टा टा त | ट्ट् ख शि | च ट ख |
23,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,अत्रेश्चासङ्गम्,षि ते त श | टू ट त टा ता | टीट् खा शि | टि ख |
24,आग्नेयपाठः,Kandah 2,द्वितीय खण्डः,प्रजापतेश्चनिधनकामम्,फी शा का | षी टि च | टि चि श | कू का पा प्ल श | ख |
25,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,सैन्धुक्षितानित्रीणि,तु त | चा थाच् का य ट टा त श | टा टा | क प प्ल प्ला | शा | ति त | षि कू टीच् य टा त | पि त्र श | ख श | ति त श | टा त | यू प श | खी ण श | क प च श | क टा ख प्ल | प्ल शा |
26,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,अग्नेर्हरसीद्वे,टा खा श | थाच् क टी खा श | टा खा श | टू खा श | टि किच् चा | ती | ख शा खि णा | टा ख शा खि णा | टि टाट् ख शि | ख श |
27,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,इहवद्वामदेव्यंतृतीयम्,षी तू | षी टि ता | टू ता | प प्लि | शा |
28,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,यामेद्वे,टु खि ण | टी खी ण | टी खि | त्र | ण फ फि फि खा ख श | ण फ फि फि ख खा श | टी खा | त्र |
29,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,अग्नेराक्षोघ्नेद्वे,खी श प्लि | की टि त | टी ता | टि खण् | प शा | खी श प्लि | ची टि त | टि त क टा खण् | प शा |
30,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,वैश्वमनसञ्च,खि शि | च चि श क था चि क ख ण | ता त श | चि प प्लि | शा |
31,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,अग्नेश्चार्षेयम्,तु ति | टा टा चि | टा टि क टा खण् श | प प्ला |
32,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,सोमसामच,ती | टि त | टा टी क थ टा ता | टा टी कथ् टि खण् | प प्ला |
33,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,गोपवनञ्च,ती | टा ख णा | चा टू ख णा | खु श खि ण | प्ली | प शा |
34,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,सूर्यसामनीद्वे,षी ति | चा या ट | चा था ट टि | टिट् शि | ता टाख् | ती त श | कि ख ण | क कु ख ण | पा ण श | किच् क पि प्ला | प्ल शा |
35,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,कावञ्च,ती | टिट् ख शि | चा क चि चा | ती | टि खण् | प प्ला |
36,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,वसुरोचिषस्सौर्यवर्चस्यसामनीद्वे,ती | टि ख शु | टि ख शु | टिट् ख शि | ख श | ता प प्लु ङि श | ता प प्लु ङी श | ता प प्लु ङि श | ता ट ख शि | ख श |
37,आग्नेयपाठः,Kandah 3,तृतीय खण्डः,गौराङ्गिरसस्यसामनीद्वे,टी खि ण | टी खि ण श | च चा टाट् ख शि | खा श | क था टि चि त | खी चा फा | क था टि चि त | खी चा फा | क था टि चि त | ष खू श | त्र |
38,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,भारद्वाजस्यौपहवौद्वौ,ती | त ता टि खा शप्ल त चा खा ण श | टाच् क षी यि टा | चा कि कि की खू प्ला | ती | त ता का ख णा | काच् च टा च चा श | थाच् चा क टु ख ण | चा कि की खा प्ला |
39,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,श्रुष्टीगवम्,टी टी श | टू टी श | टीच् क कि टा ख ण | च य ची य ट खाण् | प प्ला |
40,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,अग्नेश्चयज्ञायज्ञीयम्,णा णा फ खा ण श | टू पा शा | टाच् क पू श चा श | त त | कू का श | ख |
41,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,कार्तवेशञ्च,खी प्ली | च ची या ट | टि चु क य ट श | का का त त | टि खण् श | प प्ला |
42,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,नार्मेधञ्च,षि तु त | क टि पी श | टा खा णा | कु टि खी ण | प चा श | क टि खी ण | प प्लु | प्ल शा |
43,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,महाकार्तवेशञ्च,फू ता प प्ली ङ श | षी खू ण श | चा श | ख शी | ती | ट ख |
44,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,भारद्वाजस्यपृश्नीद्वे,पि शृ | कु ची का य ट टा त श | चा था च य टा टा त श | चा य ट टा त श | कि टि खण् | प शा | षु ति त | कु ची क च य ट का | चा था च य टा का | चा य ट का | कि टि खण् | प प्ला |
45,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,उरोराङ्गिरसस्यसाम,पा शृ | ची का चा का य प फ फी ता त | च य टा तच् क का टा खण् | प शा |
46,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,गौतमस्यपौरुमुद्गेद्वेपुरुमुद्गस्यवाङ्गीरसस्यदेवानांवा,षृ तू त श | का टा च चि का य टा | टी कि ख ण | चा का खि प्ल त त श | प्ली | प्ल शा | फू ता प शू | षु टू त | चा ची क ख ण | ख प्ल त त श | चि ट | ख प्ल त त श | टाच् क च | ख प्ल खाण् श | प शा |
47,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,मण्डोर्जामदग्न्यस्यसामनीद्वे,ती त श | क टा त टि त टि त टा ख ण | च य टा | चा थाच् का य ट | टु ता | क टाट् ख शि | ता टाख् | षी ति त | की का का य टा | चा थाच् का य ट | टि ता | क टाट् ख शि | ता टाख् |
48,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,भारद्वाजस्यगाधम्,पा शी | चा क च का य ट का ख ण श | च काच् का या ट का ख ण | ता त श | क टा ख प्ल | प्ल शा |
49,आग्नेयपाठः,Kandah 4,चतुर्थ खण्डः,गौतमेद्वे,षी तू श | चि क का पा प्ला ङ श | च का चा का पी प्ल ङ श | पी प्ल तच् क प प्ल प्ला | शा | ति | की चा का ख ण | चा क च चा का खा ण | च का की च कि ख णा | कि ट तच् क टा खण् | प शा |
