Sl No,Parva,Kandah <M>,Sama Name,Swara symbol
1,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,त
2,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,त
3,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
4,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
5,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,थाच्
6,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,चा
7,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
8,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
9,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,टा
10,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
11,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,टि
12,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
13,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
14,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,चा
15,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
16,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,चि
17,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
18,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,टा
19,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
20,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,टि
21,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
22,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
23,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,कि
24,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,च
25,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
26,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,ट
27,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,ट
28,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,खा
29,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,शि
30,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
31,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,ख
32,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,श
33,आग्नेयपाठः,Kandah 1,गौतमस्यपर्कः,|
34,आग्नेयपाठः,Kandah 1,कश्यपस्यबर्हिषीयम्,तू
