   "(\U00000020)"

$  "(\U00000024)"
$𑌿  "(\U00000024\U0001133F)"
(  "(\U00000028)"
)  "(\U00000029)"
)𑍀  "(\U00000029\U00011340)"
+  "(\U0000002B)"
0  "(\U00000030)"
1  "(\U00000031)"
2  "(\U00000032)"
3  "(\U00000033)"
3𑌂  "(\U00000033\U00011302)"
4  "(\U00000034)"
4𑌾  "(\U00000034\U0001133E)"
5  "(\U00000035)"
6  "(\U00000036)"
7  "(\U00000037)"
8  "(\U00000038)"
9  "(\U00000039)"
:  "(\U0000003A)"
;  "(\U0000003B)"
=  "(\U0000003D)"
[  "(\U0000005B)"
_  "(\U0000005F)"
|  "(\U0000007C)"
Ǐ  "(\U000001CF)"
ǐ  "(\U000001D0)"
।  "(\U00000964)"
ஓ  "(\U00000B93)"
ஓ𑌂  "(\U00000B93\U00011302)"
ஓ𑌃  "(\U00000B93\U00011303)"
ஔ  "(\U00000B94)"
ங  "(\U00000B99)"

ழா  "(\U00000BB4\U00000BBE)"

…  "(\U00002026)"

𑌅  "(\U00011305)"
𑌅𑌂  "(\U00011305\U00011302)"
𑌆  "(\U00011306)"
𑌆𑌂  "(\U00011306\U00011302)"
𑌇  "(\U00011307)"
𑌇𑌂  "(\U00011307\U00011302)"
𑌇𑌃  "(\U00011307\U00011303)"
𑌈  "(\U00011308)"
𑌈𑌂  "(\U00011308\U00011302)"
𑌉  "(\U00011309)"
𑌊  "(\U0001130A)"
𑌋  "(\U0001130B)"
𑌏  "(\U0001130F)"
𑌏𑌂  "(\U0001130F\U00011302)"
𑌏𑍇  "(\U0001130F\U00011347)"
𑌕  "(\U00011315)"
𑌕𑌂  "(\U00011315\U00011302)"
𑌕𑌾  "(\U00011315\U0001133E)"
𑌕𑌾𑌂  "(\U00011315\U0001133E\U00011302)"
𑌕𑌾𑌃  "(\U00011315\U0001133E\U00011303)"
𑌕𑌿  "(\U00011315\U0001133F)"

𑌕𑍀  "(\U00011315\U00011340)"

𑌕𑍁  "(\U00011315\U00011341)"
𑌕𑍂  "(\U00011315\U00011342)"
𑌕𑍂𑌂  "(\U00011315\U00011342\U00011302)"
𑌕𑍃  "(\U00011315\U00011343)"
𑌕𑍄  "(\U00011315\U00011344)"
𑌕𑍇  "(\U00011315\U00011347)"
𑌕𑍋  "(\U00011315\U00011347\U0001133E)"
 
𑌕𑍈  "(\U00011315\U00011348)"

𑌕𑍍  "(\U00011315\U0001134D)"

𑌕𑍗  "(\U00011315\U00011357)"
𑌕𑍢  "(\U00011315\U00011362)"
𑌖  "(\U00011316)"
𑌖𑌾  "(\U00011316\U0001133E)"
𑌖𑍂  "(\U00011316\U00011342)"
𑌖𑍃  "(\U00011316\U00011343)"
𑌖𑍍  "(\U00011316\U0001134D)"
𑌗  "(\U00011317)"
𑌗𑌂  "(\U00011317\U00011302)"
𑌗𑌾  "(\U00011317\U0001133E)"
𑌗𑌾𑌂  "(\U00011317\U0001133E\U00011302)"
𑌗𑌾𑌃  "(\U00011317\U0001133E\U00011303)"
𑌗𑌿  "(\U00011317\U0001133F)"
𑌗𑌿𑌂  "(\U00011317\U0001133F\U00011302)"
𑌗𑍀  "(\U00011317\U00011340)"
𑌗𑍀𑍍  "(\U00011317\U00011340\U0001134D)"
𑌗𑍁  "(\U00011317\U00011341)"
𑌗𑍂  "(\U00011317\U00011342)"
𑌗𑍂𑌃  "(\U00011317\U00011342\U00011303)"
𑌗𑍃  "(\U00011317\U00011343)"
𑌗𑍃𑌂  "(\U00011317\U00011343\U00011302)"
𑌗𑍄  "(\U00011317\U00011344)"
𑌗𑍇  "(\U00011317\U00011347)"
𑌗𑍋  "(\U00011317\U00011347\U0001133E)"
𑌗𑍋𑌃  "(\U00011317\U00011347\U0001133E\U00011303)"
𑌗𑍇𑍍  "(\U00011317\U00011347\U0001134D)"
𑌗𑍈  "(\U00011317\U00011348)"
𑌗𑍍  "(\U00011317\U0001134D)"
𑌗𑍗  "(\U00011317\U00011357)"
𑌗𑍗𑌂  "(\U00011317\U00011357\U00011302)"
𑌘  "(\U00011318)"
𑌘𑌂  "(\U00011318\U00011302)"
𑌘𑌾  "(\U00011318\U0001133E)"
𑌘𑌾𑌂  "(\U00011318\U0001133E\U00011302)"
𑌘𑍀  "(\U00011318\U00011340)"
𑌘𑍃  "(\U00011318\U00011343)"
𑌘𑍇  "(\U00011318\U00011347)"
𑌘𑍋  "(\U00011318\U00011347\U0001133E)"

𑌘𑍍  "(\U00011318\U0001134D)"
𑌘𑍗  "(\U00011318\U00011357)"
𑌙  "(\U00011319)"
𑌙𑌾  "(\U00011319\U0001133E)"

𑌙𑍇  "(\U00011319\U00011347)"
𑌙𑍋  "(\U00011319\U00011347\U0001133E)"
𑌙𑍍  "(\U00011319\U0001134D)"
𑌚  "(\U0001131A)"
𑌚𑌂  "(\U0001131A\U00011302)"
𑌚𑌃  "(\U0001131A\U00011303)"
𑌚𑌾  "(\U0001131A\U0001133E)"
𑌚𑌾𑌂  "(\U0001131A\U0001133E\U00011302)"
𑌚𑌾𑌃  "(\U0001131A\U0001133E\U00011303)"
