Section Line | Rik ID | Metadata
--------------------------------------------------------------------------------
1            | 1      | ।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री ।।
1            | 2      | ।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री ।।
1            | 3      | ।। मेधातिथिः काण्वः अग्निः गायत्री ।।
1            | 4      | ।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री ।।
1            | 5      | ।। उशनाः अग्निः गायत्री ।।
1            | 6      | ।। सुदीतिपुरुमीढा वांगिरसौ तयोर्वाऽन्यतरः अग्निः गायत्री ।।
1            | 7      | ।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री ।।
1            | 8      | ।। वत्सः काण्वः अग्निः गायत्री ।।
1            | 9      | ।। भारद्वाजो बार्हस्पत्यः अग्निः गायत्री ।।
1            | 10     | ।। वामदेवः अग्निः गायत्री ।।
2            | 1      | ।। आयुन्ङ्क्श्वाहि: (ऋ विरूपांगिरसः) अग्निः गायत्री ।।
2            | 2      | ।। वामदेवो गौतमः अग्निः गायत्री ।।
2            | 3      | ।। प्रयोगो भागर्वः अग्निः गायत्री ।।
2            | 4      | ।। मधछु न्दा वैश्वामित्रः अग्निः गायत्री ।।
2            | 5      | ।। शुनः शेप आजीर्गितः अग्निः गायत्री ।।
2            | 6      | ।। मेधातिथिः अग्निः गायत्री ।।
2            | 7      | ।। शुनः शेप आजीर्गितः अग्निः गायत्री ।।
2            | 8      | ।। प्रयोगो भागर्वः अग्निः गायत्री ।।
2            | 9      | ।। प्रयोगो भागर्वः अग्निः गायत्री ।।
2            | 10     | ।। वत्सः काण्वः अग्निः गायत्री ।।
3            | 1      | ।। प्रयोगो भागर्वः अग्निः गायत्री ।।
3            | 2      | ।। भाद्वाजो बार्हस्पत्यः अग्निः गायत्री ।।
3            | 3      | ।। वामदेवो गौतमः अग्निः गायत्री ।।
3            | 4      | ।। वसिष्ठो मैत्रावरुणिः अग्निः गायत्री ।।
3            | 5      | ।। भाद्वाजो बार्हस्पत्यः अग्निः गायत्री ।।
3            | 6      | ।। वसिष्ठो मैत्रावरुणिः अग्निः गायत्री ।।
3            | 7      | ।। विरूप आंगिरसः अग्निः गायत्री ।।
